Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
expensive_lessons.txt,35,13,4.85,81.78,30.98,20.23,13,23.08,92.31,76.92,61.54,30.77,23.08,0,0,0,23.08,0,7.69,7.69,0,0,15.38,7.69,7.69,7.69,0,23.08,0,0,0,0,0,0,23.08,0,23.08,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,0,0,30.77,7.69,0,0,0,0,0,23.08,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,7.69,7.69,0,0,0,7.69,30.77,0,0,0,0,0,0,0,23.08,0,15.38,0,0,0,7.69
expensive_lessons.txt,36,14,96.35,40.06,1,20.23,7,21.43,71.43,64.29,57.14,0,0,0,0,0,0,0,0,42.86,21.43,21.43,0,14.29,0,0,0,21.43,7.14,21.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,7.14,0,0,0,0,7.14,0,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.14,14.29,0,0,0,0,0,0,57.14,28.57,7.14,0,0,0,21.43
expensive_lessons.txt,37,2,89.52,40.06,1,20.23,2,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,50,0,0,0,100
expensive_lessons.txt,38,3,89.52,40.06,1,99,3,100,66.67,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,33.33,0,33.33,33.33,0,0,0,0,0,66.67,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.67,33.33,33.33,0,0,0,0
expensive_lessons.txt,39,43,5.88,93.3,82.44,20.23,21.5,16.28,88.37,69.77,51.16,25.58,23.26,11.63,2.33,9.3,0,0,2.33,11.63,2.33,0,4.65,9.3,2.33,6.98,0,23.26,4.65,4.65,2.33,2.33,0,0,18.6,0,18.6,4.65,2.33,4.65,2.33,0,2.33,0,4.65,2.33,2.33,0,0,0,0,0,0,0,16.28,4.65,0,2.33,0,0,2.33,13.95,0,0,2.33,0,6.98,0,6.98,0,2.33,0,0,2.33,0,0,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,2.33,0,9.3,11.63,2.33,2.33,4.65,2.33,0,0,2.33,4.65,0,2.33,0,0,0,0,0,34.88,13.95,13.95,0,0,2.33,4.65
expensive_lessons.txt,40,12,73.36,99,39.59,20.23,12,25,100,58.33,41.67,8.33,8.33,0,0,0,8.33,0,0,8.33,8.33,0,8.33,0,8.33,8.33,0,16.67,0,0,0,0,0,0,25,0,25,25,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,25,0,0,0,0,0,25,0,0,8.33,8.33,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,0,16.67,8.33,0,0,0,0,8.33
expensive_lessons.txt,41,4,99,1,89.39,20.23,4,0,100,75,75,25,25,25,0,0,0,0,0,25,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,25,0,0,0,50
expensive_lessons.txt,42,2,1,99,1,20.23,2,0,100,100,50,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,50,0,0,0,0,50,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,50,0,0,0,0
expensive_lessons.txt,43,50,39.7,99,7.03,20.23,16.67,14,94,72,52,18,16,0,4,2,8,2,2,14,6,0,10,6,0,12,0,22,6,4,6,4,2,0,14,0,14,6,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,22,6,0,0,0,0,2,16,0,0,0,8,6,0,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,6,8,0,2,6,0,0,0,4,4,0,2,0,0,0,0,0,26,6,14,0,0,2,4
expensive_lessons.txt,44,8,99,99,1,1,8,12.5,100,75,50,12.5,12.5,0,0,0,12.5,0,0,12.5,12.5,0,25,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,25,0,0,0,0,0,0,25,0,0,12.5,12.5,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,25,0,0,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0
