,sentence,word,word_length,word_freq
776,31,the,3,7.468477762
777,31,heavy,5,4.674391464
778,31,carriage,8,3.873897505
779,31,through,7,5.739410756
780,31,the,3,7.468477762
781,31,mud,3,4.170930022
782,32,semyon,6,1.5
783,32,tacked,6,2.371015388
784,32,from,4,6.308838249
785,32,side,4,5.302473259
786,32,to,2,7.355006441
787,32,side,4,5.302473259
788,32,keeping,7,4.708308221
789,32,to,2,7.355006441
790,32,the,3,7.468477762
791,32,edge,4,4.371015388
792,32,of,2,7.063009914
793,32,the,3,7.468477762
794,32,road,4,5.04847025
795,32,at,2,6.506871261
796,32,one,3,6.486861564
797,32,time,4,6.291360503
798,32,through,7,5.739410756
799,32,a,1,7.309359959
800,32,snowdrift,9,2.291834142
801,32,at,2,6.506871261
802,32,another,7,5.706322814
803,32,through,7,5.739410756
804,32,a,1,7.309359959
805,32,pool,4,4.671502176
806,32,often,5,4.758108464
807,32,jumping,7,4.15456167
808,32,out,3,6.58659127
809,32,of,2,7.063009914
810,32,the,3,7.468477762
811,32,cart,4,3.956476118
812,32,and,3,7.126115569
813,32,helping,7,4.704966193
814,32,the,3,7.468477762
815,32,horse,5,4.967429199
816,33,marya,5,1.5
817,33,vassilyevna,11,1.5
818,33,was,3,6.751817351
819,33,still,5,5.896340991
820,33,thinking,8,5.448807084
821,33,about,5,6.559491539
822,33,the,3,7.468477762
823,33,school,6,5.522027521
824,33,wondering,9,4.801305494
825,33,whether,7,4.826494718
826,33,the,3,7.468477762
827,33,arithmetic,10,3.189461233
828,33,questions,9,5.071214154
829,33,at,2,6.506871261
830,33,the,3,7.468477762
831,33,examination,11,3.74208325
832,33,would,5,6.246862496
833,33,be,2,6.758829216
834,33,difficult,9,4.778831031
835,33,or,2,6.231208606
836,33,easy,4,5.423837535
837,34,and,3,7.126115569
838,34,she,3,6.571450902
839,34,felt,4,5.078017488
840,34,annoyed,7,3.53734681
841,34,with,4,6.702554028
842,34,the,3,7.468477762
843,34,zemstvo,7,1.5
844,34,board,5,4.806780147
845,34,at,2,6.506871261
846,34,which,5,5.678154716
847,34,she,3,6.571450902
848,34,had,3,6.22366309
849,34,found,5,5.597121008
850,34,no,2,6.775492746
851,34,one,3,6.486861564
852,34,the,3,7.468477762
853,34,day,3,5.903493735
854,34,before,6,5.899310611
855,35,how,3,6.484591105
856,35,unbusiness-like,15,1.5
857,36,here,4,6.655049248
858,36,she,3,6.571450902
859,36,had,3,6.22366309
860,36,been,4,6.2391404
861,36,asking,6,5.107876483
862,36,them,4,6.249541971
863,36,for,3,6.837945999
864,36,the,3,7.468477762
865,36,last,4,5.858613278
866,36,two,3,6.027313275
867,36,years,5,5.754292039
868,36,to,2,7.355006441
869,36,dismiss,7,3.738992173
870,36,the,3,7.468477762
871,36,watchman,8,3.395637863
872,36,who,3,6.34633612
873,36,did,3,6.368878477
874,36,nothing,7,5.930672691
875,36,was,3,6.751817351
876,36,rude,4,4.343372533
877,36,to,2,7.355006441
878,36,her,3,6.452086523
879,36,and,3,7.126115569
880,36,hit,3,5.438767977
881,36,the,3,7.468477762
882,36,schoolboys,10,2.333226827
883,36,but,3,6.644579913
884,36,no,2,6.775492746
885,36,one,3,6.486861564
886,36,paid,4,4.932315579
887,36,any,3,6.040556953
888,36,attention,9,4.993661073
889,37,it,2,7.27578186
890,37,was,3,6.751817351
891,37,hard,4,5.487761456
892,37,to,2,7.355006441
893,37,find,4,5.918995095
894,37,the,3,7.468477762
895,37,president,9,5.147656048
896,37,at,2,6.506871261
897,37,the,3,7.468477762
898,37,office,6,5.308867481
899,37,and,3,7.126115569
900,37,when,4,6.307780386
901,37,one,3,6.486861564
902,37,did,3,6.368878477
903,37,find,4,5.918995095
904,37,him,3,6.541548453
905,37,he,2,6.882339374
906,37,would,5,6.246862496
907,37,say,3,6.214196239
908,37,with,4,6.702554028
909,37,tears,5,4.349119787
910,37,in,2,6.989451386
911,37,his,3,6.326723177
912,37,eyes,4,5.344912586
913,37,that,4,7.148972369
914,37,he,2,6.882339374
915,37,hadn’t,6,1.5
916,37,a,1,7.309359959
917,37,moment,6,5.271382517
918,37,to,2,7.355006441
919,37,spare,5,4.48883887
920,37,the,3,7.468477762
