RECORDING_SESSION_LABEL,story,sentence,norm_dt_smooth
id2,SM,73,0.3013216193430228
id2,SM,74,0.2918146214904122
id2,SM,75,0.2790037813692638
id2,SM,76,0.2976038377005098
id2,SM,77,0.2282720095766122
id2,SM,78,0.20561739995258024
id2,SM,79,0.22746766867834398
id2,SM,80,0.23651412500600316
id2,SM,81,0.2286420140505648
id2,SM,82,0.2260513738997752
id2,SM,83,0.2061532992968694
id2,SM,84,0.1740720300733672
id2,SM,85,0.19164458358237582
id2,SM,86,0.15495717878203044
id2,SM,87,0.16404277719700283
id2,SM,88,0.1670428328141654
id2,SM,89,0.20666777621630902
id2,SM,90,0.18533693138912583
id2,SM,91,0.2150134094001806
id2,SM,92,0.20703760290878
id2,SM,93,0.20112879075089837
id2,SM,94,0.14821503308698808
id2,SM,95,0.16116582507059787
id2,SM,96,0.15588868133639933
id2,SM,97,0.1392406294114431
id2,SM,98,0.1465901301300073
id2,SM,99,0.16661971114324942
id2,SM,100,0.1573561533834388
id2,SM,101,0.1418413593052205
id2,SM,102,0.25546294116047624
id2,SM,103,0.24972364495552446
id2,SM,104,0.2667406951962093
id2,SM,105,0.24355558519108947
id2,SM,106,0.258000866078966
id2,SM,107,0.14772173596458577
id2,SM,108,0.1609423624974034
id2,SM,109,0.16272473702664197
id2,SM,110,0.1944677858355908
id2,SM,111,0.19576540158738637
id2,SM,112,0.2138490283724172
id2,SM,113,0.20458166035699402
id2,SM,114,0.21513225965794222
id2,SM,115,0.19509415904409902
id2,SM,116,0.190228004139138
id2,SM,117,0.14912880161841532
id2,SM,118,0.17622358910708574
id2,SM,119,0.16020106024323874
id2,SM,120,0.16543766552041414
id2,SM,121,0.19083227138492753
id2,SM,122,0.23367721751973497
id2,SM,123,0.2177274527971526
id2,SM,124,0.2102834352610668
id2,SM,125,0.2030130957678292
id2,SM,126,0.173847364109961
id2,SM,127,0.1535442464819132
id2,SM,128,0.13698309965992023
id2,SM,129,0.30282750738571396
id2,SM,130,0.3666036391181806
id2,SM,131,0.38082516014113116
id2,SM,132,0.4115647885055558
id2,SM,133,0.44737868366779754
id2,SM,134,0.27611779805907544
id2,SM,135,0.2169407622139996
id2,SM,136,0.21514095074984962
id2,SM,137,0.1992528979347068
id2,SM,138,0.20173597425536158
id2,SM,139,0.19335093175215018
id2,SM,140,0.1906259528577946
id2,SM,141,0.1776611053086714
id2,SM,142,0.181334344600426
id2,SM,143,0.1481484700769508
id2,SM,144,0.14547715039793147
id2,SM,145,0.157687247293738
id2,SM,146,0.14937926292204529
id2,SM,147,0.1497660309442065
id2,SM,148,0.14475807126735626
id2,SM,149,0.19045617526377026
id2,SM,150,0.17173540394643685
id2,SM,151,0.20205781618175117
id2,SM,152,0.18564883823463743
id2,SM,153,0.2060199584183414
id2,SM,154,0.2112803612337344
id2,SM,155,0.2164895413751954
id2,SM,156,0.25328693881320363
id2,SM,157,0.2436635125440426
id2,SM,158,0.2756988566362024
id2,SM,159,0.249415750812495
id2,SM,160,0.2507362889056692
id2,SM,161,0.20256777781469978
id2,SM,162,0.21383354252632877
id2,SM,163,0.167382847044024
id2,SM,164,0.159125410083349
id2,SM,165,0.2002513207673228
id2,SM,166,0.208038171779785
id2,SM,167,0.2417802359352732
id2,SM,168,0.24357921207927138
id2,SM,169,0.23113940037959518
