,Unnamed: 0.1,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral.1,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,word_freq,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score,tally
183,183.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,8.0,SM,0.0145515762269496,0.0603648051619529,0.8471402525901794,0.0050103827379643,0.0138253532350063,0.0064236195757985,0.0526840947568416,0.0654508844017982,0.8667585849761963,0.0677903965115547,3.375,2.62125,0.63825,0.688,0.529,0.39525,0.705,0.24,51.557796738,183,A train was coming out of the station.,886.2222222222223,1189.4949494949494,77.11685142018474,1.2525252525252526,1.292929292929293,-0.14,1
193,193.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,9.0,SM,0.0319034866988658,0.0574222058057785,0.1571928560733795,0.0030936466064304,0.0433510057628154,0.0752527266740799,0.6317840814590454,0.7073606848716736,0.2735792994499206,0.0190600156784057,3.2222222222222223,2.542222222222222,0.56125,0.765,0.133,0.52625,0.627,0.361,56.470353512,193,"And she began crying, she did not know why.",544.4801762114538,732.251101321586,79.37896858372906,0.6740088105726872,0.6740088105726872,-0.14,1
194,194.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,63.0,SM,0.0043362993746995,0.0069837369956076,0.0005022673285566,0.9654917120933532,0.0146614536643028,0.002146495738998,0.0058780424296855,0.0027116918936371,0.073284812271595,0.924003541469574,3.5873015873015874,2.591774193548387,0.7362608695652174,0.969,0.439,0.4216086956521739,0.798,0.118,384.112800665,194,"Just at that instant Hanov drove up with his team of four horses, and seeing him she imagined happiness such as she had never had, and smiled and nodded to him as an equal and a friend, and it seemed to her that her happiness, her triumph, was glowing in the sky and on all sides, in the windows and on the trees.",3585.927966101695,4850.199152542373,513.2477811416602,4.271186440677966,4.538135593220339,-0.14,1
195,195.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,27.0,SM,0.0251065026968717,0.0151777435094118,0.2276009917259216,0.007474323734641,0.0577531196177005,0.027631789445877,0.6392555832862854,0.3419045209884643,0.5079880356788635,0.1501074731349945,4.357142857142857,2.5262962962962963,0.6183571428571428,0.931,0.031,0.4098571428571428,0.765,0.157,164.725804864,195,"Her father and mother had never died, she had never been a schoolmistress, it was a long, tedious, strange dream, and now she had awakened....""Vassilyevna, get in!""",1460.3048780487802,1947.182926829268,200.50865586395312,1.7560975609756095,1.7560975609756095,-0.14,1
196,196.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,6.0,SM,0.0883199796080589,0.0670172423124313,0.151401087641716,0.0066435658372938,0.1085496023297309,0.0406071990728378,0.5374614000320435,0.3421160876750946,0.5917397141456604,0.0661441385746002,3.333333333333333,2.3633333333333333,0.236,0.236,0.236,0.48,0.48,0.48,36.664759082,196,And at once it all vanished.,291.4468085106383,399.1404255319149,48.22612064796905,0.3574468085106382,0.3829787234042553,-0.14,1
197,197.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,5.0,SM,0.0653414353728294,0.0772888511419296,0.6020734310150146,0.011343440040946,0.1644182056188583,0.016742892563343,0.0627917200326919,0.1282563209533691,0.8148115277290344,0.0569321103394031,4.6,2.918,0.57875,0.885,0.333,0.3975,0.685,0.185,26.900201273,197,The barrier was slowly raised.,90.50295857988164,107.01183431952664,54.87251210328134,0.0887573964497041,0.1183431952662722,-0.14,1
198,198.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,11.0,SM,0.0128264669328928,0.0529599525034427,0.7398596405982971,0.0024846205487847,0.0315043590962886,0.1550713926553726,0.0052934736013412,0.443593829870224,0.5335047245025635,0.0229014419019222,4.636363636363637,2.816666666666667,0.4051999999999999,0.74,0.108,0.5322,0.765,0.344,52.833483592,198,"Marya Vassilyevna, shivering and numb with cold, got into the cart.",1316.7012835472576,1898.8092182030337,,1.8771878646441071,1.8771878646441071,-0.14,1
199,199.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,13.0,SM,0.0499614998698234,0.0654462352395057,0.6394900679588318,0.0124507527798414,0.182605966925621,0.0091233663260936,0.0409222207963466,0.0488908439874649,0.8929286003112793,0.0581803694367408,4.615384615384615,3.263333333333333,0.5865714285714285,0.667,0.448,0.4218571428571429,0.615,0.18,70.47671284,199,The carriage with the four horses crossed the railway line; Semyon followed it.,1556.1015169194864,2244.0472578763124,,2.218494749124854,2.218494749124854,-0.14,1
200,200.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,6.0,SM,0.027341516688466,0.8015680313110352,0.0082313008606433,0.0023818342015147,0.1380024701356887,0.0056739705614745,0.0168008562177419,0.1348951309919357,0.8109495043754578,0.0541552528738975,4.166666666666667,3.223333333333333,0.72,0.828,0.612,0.3885,0.537,0.24,32.707003611,200,The signalman took off his cap.,718.200700116686,1035.7141190198363,,1.0239206534422405,1.0239206534422405,-0.14,1
201,201.0,0,0.0,id27,0.0,0.0,empty,0.0,0.0,4.0,SM,0.0113426418974995,0.0065739201381802,0.0047959699295461,0.081769049167633,0.6971723437309265,0.0056154965423047,0.1927305161952972,0.0721245929598808,0.7700675129890442,0.1578078866004943,4.25,2.1666666666666665,0.67,0.67,0.67,0.24,0.24,0.24,22.039994033,201,"""And here is Vyazovye.",478.80046674445737,690.4760793465578,,0.6826137689614936,0.6826137689614936,-0.14,1
