,story,sentence,RECORDING_SESSION_LABEL,category,proportion_highlighted,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral_sentiment,positive,word_length_mean,concreteness,valence_mean,valence_max,valence_min,arousal_mean,arousal_max,arousal_min,word_freq_mean,word_count,text,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score,word_count_norm,character_count,character_count_norm,normalized_dt,norm_dt_smooth,norm_reg_path,highlighted,valence_diff,arousal_diff,word_freq_norm,no_highlight,present,confused,curious,connected,other
21,EL,0,id5,0,0,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,8020,4992,207.6727273,9,6,2.86,0.144444444,66,0.169270833,1,0.598272819,356.5714286,0,0.895,0.441,0.775370548,1,0,0,0,0,0
22,EL,0,id7,0,0,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,1536,1520,521.5,3,1,1.14,0.144444444,66,0.169270833,0.137136434,0.227585719,108.5714286,0,0.895,0.441,0.775370548,1,0,0,0,0,0
23,EL,0,id8,5,0.987951807,0.076903977,0.705023468,0.013152704,0.002073999,0.167468444,0.032682762,0.00269463,0.901432157,0.092206098,0.006361709,4.714285714,2.100714286,0.552625,0.958,0.063,0.462625,0.681,0.24,80.89138707,14,For a cultivated man to be ignorant of foreign languages is a great inconvenience.,3316,2514,167,3,2,3.14,0.144444444,66,0.169270833,0.29864703,0.419313215,179.5714286,1,0.895,0.441,0.775370548,0,0,0,0,0,1
24,EL,1,id10,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",5134,5260,225.7692308,1,1,2.57,0.2,86,0.221354167,0.20002672,0.167447385,276.8421053,0,0.411,0.418,0.705357247,1,0,0,0,0,0
25,EL,1,id11,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",5840,6224,184.0235714,5,5,0.57,0.2,86,0.221354167,0.431517827,0.461936643,327.5789474,0,0.411,0.418,0.705357247,1,0,0,0,0,0
26,EL,1,id12,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",5088,5592,219.0833333,10,11,3.57,0.2,86,0.221354167,0.429791787,0.388073589,294.3157895,0,0.411,0.418,0.705357247,1,0,0,0,0,0
27,EL,1,id13,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",3024,8370,179.7954545,2,6,1.71,0.2,86,0.221354167,0.320928692,0.343292914,440.5263158,0,0.411,0.418,0.705357247,1,0,0,0,0,0
28,EL,1,id14,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",5990,5990,184.9930769,4,4,3.29,0.2,86,0.221354167,0.43669094,0.49099927,315.2631579,0,0.411,0.418,0.705357247,1,0,0,0,0,0
29,EL,1,id15,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",7282,18084,204.468125,2,7,1.71,0.2,86,0.221354167,0.385309979,0.294004434,951.7894737,0,0.411,0.418,0.705357247,1,0,0,0,0,0
30,EL,1,id17,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",3982,6764,302,4,4,1.57,0.2,86,0.221354167,0.162960388,0.107003127,356,0,0.411,0.418,0.705357247,1,0,0,0,0,0
31,EL,1,id18,2,0.572727273,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",7590,9414,118.765,13,12,1.29,0.2,86,0.221354167,0.257293105,0.356424875,495.4736842,1,0.411,0.418,0.705357247,0,0,1,0,0,0
32,EL,1,id19,2,0.981818182,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",6370,17880,110.2176923,3,4,1.14,0.2,86,0.221354167,0.310088158,0.33150545,941.0526316,1,0.411,0.418,0.705357247,0,0,1,0,0,0
33,EL,1,id2,4,0.990909091,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",4471,4088,171.85,10,10,2.86,0.2,86,0.221354167,0.291618298,0.21905019,215.1578947,1,0.411,0.418,0.705357247,0,0,0,0,1,0
34,EL,1,id20,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",3224,3488,240.25,2,2,1.86,0.2,86,0.221354167,0.259247288,0.417811353,183.5789474,0,0.411,0.418,0.705357247,1,0,0,0,0,0
35,EL,1,id21,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",2382,4284,179.5,3,4,1.71,0.2,86,0.221354167,0.064898797,0.082502646,225.4736842,0,0.411,0.418,0.705357247,1,0,0,0,0,0
36,EL,1,id22,0,0,0.010886623,0.156600878,0.802592993,0.003065022,0.012265697,0.007862078,0.006726652,0.042429935,0.8377195,0.119850576,4.526315789,2.55,0.669444444,0.828,0.417,0.492666667,0.663,0.245,102.4417575,19,"Vorotov became acutely conscious of it when, after taking his degree, he began upon a piece of research work.",2872,3432,345.4166667,3,3,1,0.2,86,0.221354167,0.250024222,0.279784281,180.6315789,0,0.411,0.418,0.705357247,1,0,0,0,0,0
