,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
20.0,0,0.0,23,1880.0,1990.0,124.14285714285714,1.0,1.0,11,SM,0.05862106382846832,0.7809762358665466,0.017393996939063072,0.02152363210916519,0.11280009895563126,0.004599431529641151,0.004085575230419636,0.0096839517354965,0.4717381298542022,0.5185778141021729,3.6363636363636362,2.952727272727273,0.6063333333333333,0.76,0.529,0.2966666666666667,0.315,0.269,20,When he came up to her he recognized her and bowed.,1880.0,1990.0,124.14285714285714,1.0,1.0,3.0
21.0,0,0.0,23,574.0,574.0,140.5,0.0,0.0,5,SM,0.010450610890984535,0.013319266028702259,0.005628216080367565,0.23749679327011108,0.7130539417266846,0.012261757627129555,0.007789496798068285,0.0048894342035055,0.3470036089420318,0.6481068730354309,3.6666666666666665,2.75,0.7323333333333334,0.938,0.571,0.30433333333333334,0.368,0.235,21,"""Good-morning,"" he said to her.",574.0,574.0,140.5,1.0869565217391306,0.9782608695652175,3.0
22.0,0,0.0,23,1048.0,1188.0,145.875,1.0,1.0,6,SM,0.023877324536442757,0.06041034683585167,0.028218058869242668,0.0036593559198081493,0.8518609404563904,0.0056237163953483105,0.0263502337038517,0.0682538002729415,0.8659375309944153,0.0658087953925132,4.166666666666667,3.205,0.675,0.854,0.551,0.3855,0.689,0.24,22,"""You are driving home, I suppose.""",1048.0,1188.0,145.875,1.0,1.0,3.0
23.0,0,0.0,23,7462.0,7170.0,133.43954545454545,8.0,5.0,31,SM,0.0077017988078296185,0.3350030779838562,0.005210882052779198,0.032799795269966125,0.19305194914340973,0.4202866554260254,0.005945809651166201,0.0309467501938343,0.2801136374473572,0.68893963098526,4.161290322580645,2.5573333333333332,0.6258461538461539,0.89,0.219,0.45630769230769225,0.771,0.173,23,"This Hanov, a man of forty with a listless expression and a face that showed signs of wear, was beginning to look old, but was still handsome and admired by women.",7462.0,7170.0,133.43954545454545,8.0,5.0,3.0
24.0,0,0.0,23,8498.0,17696.0,142.57407407407408,10.0,9.0,41,SM,0.034620046615600586,0.1702043116092682,0.02115071937441826,0.00950294453650713,0.7111809849739075,0.0277189202606678,0.025622041895985603,0.1957581043243408,0.7237884998321533,0.0804533585906028,3.7804878048780486,2.9068292682926833,0.6512941176470588,0.88,0.208,0.4051176470588236,0.765,0.167,24,"He lived in his big homestead alone, and was not in the service; and people used to say of him that he did nothing at home but walk up and down the room whistling, or play chess with his old footman.",8498.0,17696.0,142.57407407407408,10.0,9.0,3.0
25.0,0,0.0,23,1396.0,1398.0,133.16666666666666,3.0,2.0,7,SM,0.01730562001466751,0.617740273475647,0.006715875118970871,0.0019342973828315735,0.322525292634964,0.028884079307317734,0.004894502926617861,0.4538805484771728,0.5298690795898438,0.0162504985928535,4.428571428571429,2.9433333333333334,0.59175,0.65,0.542,0.48525,0.679,0.31,25,"People said, too, that he drank heavily.",1396.0,1398.0,133.16666666666666,3.0,2.0,3.0
26.0,0,0.0,23,2898.0,3944.0,134.88916666666668,2.0,5.0,19,SM,0.002438258845359087,0.9879853129386902,0.002676283707842231,0.0003107690718024969,0.003731657052412629,0.0021021361462771893,0.0007555985357612371,0.0946053937077522,0.7936685085296631,0.1117261201143264,4.3,2.6695,0.5475714285714286,0.792,0.333,0.39885714285714285,0.657,0.123,26,And indeed at the examination the year before the very papers he brought with him smelt of wine and scent.,2898.0,3944.0,134.88916666666668,2.0,5.0,3.0
27.0,0,0.0,23,7868.0,11084.0,138.43478260869566,9.0,9.0,30,SM,0.002466050675138831,0.7931619882583618,0.014245463535189629,0.0036861367989331484,0.04182438924908638,0.12990885972976685,0.01470723282545805,0.1784771829843521,0.4651879370212555,0.356334924697876,4.6,2.677857142857143,0.7164166666666666,0.917,0.184,0.41825,0.63,0.23,27,"He had been dressed all in new clothes on that occasion, and Marya Vassilyevna thought him very attractive, and all the while she sat beside him she had felt embarrassed.",7868.0,11084.0,138.43478260869566,9.0,9.0,3.0
28.0,0,0.0,23,9190.0,11220.0,130.59259259259258,7.0,10.0,40,SM,0.10683290660381317,0.1735241413116455,0.004538882989436388,0.447934091091156,0.25489258766174316,0.005762144923210144,0.006515215151011944,0.0963255986571312,0.5674585700035095,0.3362158238887787,4.85,2.36725,0.6098571428571429,0.937,0.219,0.37466666666666665,0.575,0.217,28,"She was accustomed to see frigid and sensible examiners at the school, while this one did not remember a single prayer, or know what to ask questions about, and was exceedingly courteous and delicate, giving nothing but the highest marks.",9190.0,11220.0,130.59259259259258,7.0,10.0,3.0
29.0,0,0.0,23,4308.0,48740.0,129.20214285714286,4.0,5.0,21,SM,0.01727031171321869,0.044734854251146317,0.040786538273096085,0.004218531306833029,0.17994943261146545,0.6914541721343994,0.021586162969470024,0.2634333670139313,0.7008391618728638,0.0357274077832698,3.761904761904762,2.9655555555555555,0.6506666666666666,0.854,0.51,0.33244444444444443,0.443,0.24,29,"""I am going to visit Bakvist,"" he went on, addressing Marya Vassilyevna, ""but I am told he is not at home.""",4308.0,48740.0,129.20214285714286,4.0,5.0,3.0
30.0,0,0.0,23,5080.0,5664.0,138.53125,9.0,6.0,17,SM,0.04109735041856766,0.032976552844047546,0.7639063000679016,0.0064850617200136185,0.12391635030508041,0.01037469319999218,0.021243704482913017,0.0307369194924831,0.9163867831230164,0.0528761632740497,4.368421052631579,2.5741176470588236,0.5568333333333334,0.684,0.323,0.43500000000000005,0.657,0.275,30,"They turned off the highroad into a by-road to the village, Hanov leading the way and Semyon following.",5080.0,5664.0,138.53125,9.0,6.0,3.0
31.0,0,0.0,23,4164.0,8240.0,134.97642857142858,5.0,4.0,17,SM,0.0478687547147274,0.2201029360294342,0.5143219232559204,0.004237168934196234,0.17428988218307495,0.02466587722301483,0.014513513073325157,0.0728616043925285,0.8667364716529846,0.0604017972946167,4.647058823529412,3.006470588235294,0.5315000000000001,0.698,0.25,0.48650000000000004,0.778,0.26,31,"The four horses moved at a walking pace, with effort dragging the heavy carriage through the mud.",4164.0,8240.0,134.97642857142858,5.0,4.0,3.0
