,category,proportion,RECORDING_SESSION_LABEL,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,word,story,anger,disgust,fear,joy,neutral,sadness,surprise,negative,neutral,positive,word_length,concreteness,valence_avg,valence_max,valence_min,arousal_avg,arousal_max,arousal_min,Unnamed: 0,0,IA_DWELL_TIME_SMOOTHED,IA_REGRESSION_PATH_DURATION_SMOOTHED,IA_AVERAGE_FIX_PUPIL_SIZE_SMOOTHED,IA_REGRESSION_IN_COUNT_SMOOTHED,IA_REGRESSION_OUT_FULL_COUNT_SMOOTHED,engagement_score
22.0,2,0.7288135593220338,12,3094.0,4218.0,174.43333333333334,5.0,5.0,34,EL,0.28145653009414673,0.11107143014669418,0.025336341932415962,0.008124704472720623,0.38353076577186584,0.019668249413371086,0.17081193625926971,0.1750298738479614,0.6067764759063721,0.2181936651468277,3.9714285714285715,2.7055882352941176,0.6598461538461537,0.914,0.214,0.5103076923076924,0.72,0.173,22,"She did not once smile or frown, and only once a look of perplexity flitted over her face when she learnt that she was not required to teach children, but a stout grown-up man.",3094.0,4218.0,174.43333333333334,5.0,5.0,3.57
23.0,2,0.1098901098901098,12,2730.0,3726.0,178.72222222222223,3.0,2.0,14,EL,0.005702681839466095,0.018927743658423424,0.0102452477440238,0.004094674251973629,0.9461354613304138,0.007218619808554649,0.007675564847886562,0.0220340006053447,0.8945468068122864,0.0834191292524337,4.375,2.5166666666666666,0.617,0.757,0.458,0.32083333333333336,0.577,0.185,23,"“So,Alice Osipovna,” said Vorotov, “we’ll have a lesson every evening from seven to eight.",2730.0,3726.0,178.72222222222223,3.0,2.0,3.57
24.0,0,0.0,12,1666.0,3534.0,145.91666666666666,3.0,4.0,11,EL,0.35476917028427124,0.1944955438375473,0.029576025903224945,0.0046155862510204315,0.3958503007888794,0.0181707926094532,0.0025225419085472822,0.0997387692332267,0.8253877758979797,0.0748734399676323,4.214285714285714,1.9749999999999999,0.63175,0.802,0.45,0.3695,0.577,0.255,24,As regards your terms—a rouble a lesson—I’ve nothing to say against that.,1666.0,3534.0,145.91666666666666,3.0,4.0,3.57
25.0,0,0.0,12,2360.0,3908.0,202.77777777777777,3.0,3.0,9,EL,0.05987047776579857,0.05769502371549606,0.029106512665748596,0.008529182523488998,0.8240426778793335,0.01754642091691494,0.0032098095398396254,0.0570541620254516,0.8196669816970825,0.1232787072658538,3.0,2.4657142857142857,0.5123333333333333,0.67,0.427,0.36000000000000004,0.467,0.24,25,By all means let it be a rouble. . . .”,2360.0,3908.0,202.77777777777777,3.0,3.0,3.57
26.0,2,0.6141078838174274,12,5440.0,6222.0,167.65,4.0,4.0,48,EL,0.021566784009337425,0.061218809336423874,0.0019931818824261427,0.36951932311058044,0.5305848717689514,0.008292187005281448,0.006824874319136143,0.0133766159415245,0.6138325333595276,0.3727909028530121,3.7755102040816326,2.5927083333333334,0.7118421052631579,0.938,0.493,0.3721052631578948,0.673,0.163,26,"And he asked her if she would not have some tea or coffee, whether it was a fine day, and with a good-natured smile, stroking the baize of the table, he inquired in a friendly voice who she was, where she had studied, and what she lived on.",5440.0,6222.0,167.65,4.0,4.0,3.57
27.0,0,0.0,12,6350.0,7624.0,162.45652173913044,5.0,5.0,46,EL,0.03820931538939476,0.03359409049153328,0.01449909433722496,0.004988581873476505,0.03132770583033562,0.8341341614723206,0.0432470329105854,0.1704133450984954,0.7571645975112915,0.0724221393465995,4.729166666666667,2.7046666666666663,0.6462399999999999,0.931,0.031,0.43996,0.765,0.189,27,"With a cold, business-like expression,Alice Osipovna answered that she had completed her studies at a private school and had the diploma of a private teacher, that her father had died lately of scarlet fever, that her mother was alive and made artificial flowers; that she, Mdlle.",6350.0,7624.0,162.45652173913044,5.0,5.0,3.57
28.0,0,0.0,12,2978.0,3476.0,169.33636363636364,4.0,3.0,20,EL,0.039757147431373596,0.39633849263191223,0.08305814862251282,0.19782543182373047,0.14561554789543152,0.08462151139974594,0.052783720195293427,0.012305618263781,0.5786654949188232,0.4090288877487182,5.285714285714286,2.943,0.6911333333333333,0.968,0.402,0.38666666666666666,0.577,0.185,28,"Enquête, taught in a private school till dinnertime, and after dinner was busy till evening giving lessons in different good families.",2978.0,3476.0,169.33636363636364,4.0,3.0,3.57
29.0,1,0.8133333333333334,12,1602.0,4832.0,202.534,1.0,4.0,11,EL,0.005760356783866882,0.9699336290359497,0.006463887169957161,0.0006265417323447764,0.013385862112045288,0.002964261220768094,0.0008653732948005199,0.0836903154850006,0.818757176399231,0.0975525826215744,4.357142857142857,2.9538461538461536,0.5184,0.847,0.063,0.37439999999999996,0.441,0.315,29,She went away leaving behind her the faint fragrance of a woman’s clothes.,1602.0,4832.0,202.534,1.0,4.0,3.57
30.0,1,1.0,12,2072.0,4782.0,161.6,2.0,3.0,23,EL,0.009500473737716675,0.5153596997261047,0.01655634306371212,0.014167330227792263,0.36937984824180603,0.069725401699543,0.005310945678502321,0.1296668797731399,0.7936363816261292,0.076696753501892,4.695652173913044,2.809047619047619,0.6261,0.833,0.448,0.3424,0.596,0.146,30,"For a long time afterwards Vorotov could not settle to work, but, sitting at the table stroking its green baize surface, he meditated.",2072.0,4782.0,161.6,2.0,3.0,3.57
31.0,1,0.1645569620253164,12,1378.0,1538.0,167.55714285714288,2.0,2.0,15,EL,0.002197114285081625,0.021243518218398094,0.0006455213879235089,0.95391845703125,0.0172489732503891,0.003190877614542842,0.0015555405989289284,0.0037229324225336,0.0632518455386161,0.9330251812934875,3.75,2.5746666666666664,0.8015,0.939,0.635,0.49333333333333335,0.769,0.269,31,"“It’s very pleasant to see a girl working to earn her own living,” he thought.",1378.0,1538.0,167.55714285714288,2.0,2.0,3.57
