,negative,neutral,positive,anger,disgust,fear,joy,neutral,sadness,surprise,IA_DWELL_TIME,IA_REGRESSION_PATH_DURATION,IA_AVERAGE_FIX_PUPIL_SIZE,IA_REGRESSION_IN_COUNT,IA_REGRESSION_OUT_FULL_COUNT,category
19.0,0.1929325461387634,0.7661206722259521,0.0409468337893486,0.059031084179878235,0.12094932794570923,0.4396648705005646,0.0026802467182278633,0.020034106448292732,0.008434025570750237,0.3492063879966736,16286.0,20810.0,324.26,8.0,12.0,0
20.0,0.0096839517354965,0.4717381298542022,0.5185778141021729,0.05862106382846832,0.7809762358665466,0.017393996939063072,0.02152363210916519,0.11280009895563126,0.004599431529641151,0.004085575230419636,3190.0,11648.0,261.9175,0.0,1.0,0
21.0,0.0048894342035055,0.3470036089420318,0.6481068730354309,0.010450610890984535,0.013319266028702259,0.005628216080367565,0.23749679327011108,0.7130539417266846,0.012261757627129555,0.007789496798068285,3654.0,8478.0,336.51,5.0,6.0,0
22.0,0.0682538002729415,0.8659375309944153,0.0658087953925132,0.023877324536442757,0.06041034683585167,0.028218058869242668,0.0036593559198081493,0.8518609404563904,0.0056237163953483105,0.0263502337038517,1960.0,3104.0,340.366,2.0,4.0,0
23.0,0.0309467501938343,0.2801136374473572,0.68893963098526,0.0077017988078296185,0.3350030779838562,0.005210882052779198,0.032799795269966125,0.19305194914340973,0.4202866554260254,0.005945809651166201,8397.0,9657.0,340.61764705882354,3.0,3.0,4
24.0,0.1957581043243408,0.7237884998321533,0.0804533585906028,0.034620046615600586,0.1702043116092682,0.02115071937441826,0.00950294453650713,0.7111809849739075,0.0277189202606678,0.025622041895985603,12074.0,12366.0,315.7338461538462,5.0,4.0,4
25.0,0.4538805484771728,0.5298690795898438,0.0162504985928535,0.01730562001466751,0.617740273475647,0.006715875118970871,0.0019342973828315735,0.322525292634964,0.028884079307317734,0.004894502926617861,3364.0,2618.0,285.4,3.0,1.0,4
26.0,0.0946053937077522,0.7936685085296631,0.1117261201143264,0.002438258845359087,0.9879853129386902,0.002676283707842231,0.0003107690718024969,0.003731657052412629,0.0021021361462771893,0.0007555985357612371,7706.0,8460.0,296.0,2.0,4.0,4
27.0,0.1784771829843521,0.4651879370212555,0.356334924697876,0.002466050675138831,0.7931619882583618,0.014245463535189629,0.0036861367989331484,0.04182438924908638,0.12990885972976685,0.01470723282545805,4802.0,6858.0,309.61133333333333,5.0,5.0,4
28.0,0.0963255986571312,0.5674585700035095,0.3362158238887787,0.10683290660381317,0.1735241413116455,0.004538882989436388,0.447934091091156,0.25489258766174316,0.005762144923210144,0.006515215151011944,25714.0,31672.0,309.5209375,15.0,15.0,4
